Publish Date,Likes Count,Comments Count,Video URL,Video View Count,Short Code,Caption
2023-12-24 15:50:10,39057,210,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_372203965220952_4698634887291445637_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=100&_nc_ohc=p1D8DAS-3GAAX8VXKXz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfArv0dPaoT-H3i8fwahza_T9tmePnVkBfkYl48jXvcJKg&oe=65C8E4F1&_nc_sid=bc0c2c,563226,C1O216Ouxd2,"Why Can’t a Father & Son Get Along?
Karan Johar Asks Sadhguru

#Sadhguru #Wisdom #FatherAndSon #AnimalMovie #Men #Family"
2023-12-24 12:15:02,17849,101,https://instagram.fmaa2-1.fna.fbcdn.net/v/t66.30100-16/10000000_378978594652097_6533680464093052528_n.mp4?_nc_ht=instagram.fmaa2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=dJN55S9sN7QAX8swCS_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDNy3F56A9cTxrAfjrdiNnItJr9as_U4ZkbZ_QKAtCR2Q&oe=65C8ABC4&_nc_sid=bc0c2c,130719,C1OeOuuPEqT,"Why You Should Get Some Sun Every Day?

Designed by Sadhguru, Inner Engineering is a transformative program that includes simple Yoga practices, sessions and meditative processes guided by Sadhguru, and the transmission of Shambhavi Mahamudra Kriya, a powerful 21-minute Yogic practice. This program helps you build a foundation of health, joy and exuberance, and establish a chemistry of blissfulness.

Visit the 'Link-in-Bio' to learn more about the Inner Engineering Program.

#7StepsWithSadhguru #InnerEngineering #Sadhguru #Yoga #YourDestiny #Energy #SunCycle #Sunrise #SolarEnergy #SunBath"
2023-12-21 18:45:26,44949,365,https://instagram.fmaa2-2.fna.fbcdn.net/v/t66.30100-16/10000000_390638903388190_596658227553828979_n.mp4?_nc_ht=instagram.fmaa2-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=NG3BC9gC1NUAX_mEIpr&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA51CkkH_XAaMgrq3fokrDIFrwXTfHtISkV2cW7VnOpAQ&oe=65C8FF52&_nc_sid=bc0c2c,292320,C1Hb1njvE_e,"Why Should I Do the Inner Engineering Program?

Designed by Sadhguru, Inner Engineering is a transformative program that includes simple Yoga practices, sessions and meditative processes guided by Sadhguru, and the transmission of Shambhavi Mahamudra Kriya, a powerful 21-minute Yogic practice. This program helps you build a foundation of health, joy and exuberance, and establish a chemistry of blissfulness.

Visit the 'Link-in-Bio' to learn more about the Inner Engineering Program.

#7StepsWithSadhguru #InnerEngineering #Sadhguru #Yoga #Shambhavi #Transformation"
2023-12-19 16:09:38,11366,49,https://instagram.fmaa2-2.fna.fbcdn.net/v/t66.30100-16/10000000_912391813221487_4272921355309827469_n.mp4?_nc_ht=instagram.fmaa2-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=I28nk8SX1FwAX_wN4oG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCLc80qsmOUuEhvK1GI9ATt4ggUuofTrQHdSn_26jd91w&oe=65C8E5F7&_nc_sid=bc0c2c,118378,C1CAvm9vxd6,"Decoding the Time-Space Conundrum | Cosmologist Bernard Carr & Sadhguru

Renowned cosmologist Dr. Bernard Carr and Sadhguru engage in a fascinating discussion about some of the deepest mysteries of our cosmos. They explore a range of topics, including science, spirituality, telepathy and telekinesis, time and space, multiverses, and consciousness in an event hosted by the Sadhguru Center for a Conscious Planet at Beth Israel Deaconess Medical Center. Watch the full conversation on Sadhguru YouTube.

#Sadhguru #ScienceAndSpirituality #Consciousness #Cosmology #Universe #TimeAndSpace #Conundrum"
2023-12-19 12:29:49,36968,143,https://instagram.fmaa2-1.fna.fbcdn.net/v/t66.30100-16/10000000_377186781430045_8030131742600682573_n.mp4?_nc_ht=instagram.fmaa2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=3533VypMjq8AX--HcJj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAPBlIW5jLwcC8crSfSnp9tfBZ74FWk1n2YXWRMubgwlg&oe=65C90F1F&_nc_sid=bc0c2c,250439,C1Bn-9MvAAw,"What is Sadhguru’s Mission?

#Sadhguru #Mission #Karma #Responsibility"
2023-12-14 18:33:06,22234,121,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_739868094854140_7311763064805314450_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=104&_nc_ohc=1o4jCg3bhaoAX_cL0fE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDHG5az93aZcjbhjPImMHZmjIi3-Dnj_oLOuRh4Gr-9hA&oe=65C8E370&_nc_sid=bc0c2c,191773,C01Zl7ivMvG,"Do Casual Relationships Make You Lonelier?

Transform your life with Sadhguru in seven steps. Register now for the Inner Engineering Online program.

Visit the link in the bio to learn more about the Inner Engineering Program.

#7StepsWithSadhguru #InnerEngineering #Sadhguru #Wisdom #Relationship #Loneliness"
2023-12-13 14:05:06,23187,151,https://instagram.fmaa2-1.fna.fbcdn.net/v/t66.30100-16/10000000_2277512379114962_4037595669967903058_n.mp4?_nc_ht=instagram.fmaa2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=XFYWVNQ1yaoAX_peJ6H&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB4jg5wYTmQgI2WS2cCYum_XDCBvlb-kVkrEec4v4TJ_g&oe=65C91377&_nc_sid=bc0c2c,145998,C0yVxoVvwWu,"What is Life?

#Sadhguru #DailyWisdom #TheLife #Thoughts #Emotions #Dramas"
2023-12-12 21:18:15,13320,89,https://instagram.fmaa2-2.fna.fbcdn.net/v/t66.30100-16/10000000_898241325021835_8108008607108708262_n.mp4?_nc_ht=instagram.fmaa2-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=pwY-W-01d-cAX_SjIWK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBuIrheqL80nA0N9xt8QuZDF4ymZrNsXJ9UwQBjQTN1Yg&oe=65C8F569&_nc_sid=bc0c2c,120297,C0wiZ0aPQK2,"A Profound Partnership with Sadhguru

""Guru Mahima with Sadhguru"" is a unique and exclusive program in which Sadhguru will initiate the participants into a powerful process to become more receptive to Grace and make Grace a constant companion in their lives. The program will be held at the Isha Yoga Center on 30 December.

Register now - sadhguru.co/gm

#Sadhguru #Guru #GuruMahima #Grace #Partnership"
2023-12-12 19:07:46,33568,181,https://instagram.fmaa2-3.fna.fbcdn.net/v/t50.2886-16/10000000_893438845497568_3943851716290027765_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=104&_nc_ohc=MkM5o3m2uk4AX8TERzu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCSFww6FN2x-V9DgHvj8t6ls_ROYdrak4J7eBX1_w6lcw&oe=65C91589&_nc_sid=bc0c2c,203947,C0wTEM1v5-t,"How To Experience True Love?

#Sadhguru #Wisdom #TrueLove #AboutLove"
2023-12-12 14:49:40,34771,89,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_6970797033012420_4593972904225947799_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=100&_nc_ohc=RjSVIwAfkIIAX9anTCn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB-vZ3OwPgNFG0I4Se4BCLq5FZjgeGh1x9HWqzsArcK2w&oe=65C9190B&_nc_sid=bc0c2c,400795,C0v2Yd8vqqX,"Will Inner Engineering Work for Me? Vijay Deverakonda Asks Sadhguru

Transform your life with Sadhguru in seven steps. Register now for the Inner Engineering Online program. Visit the link in bio to learn more about the Inner Engineering Program.

#Sadhguru #Wisdom #7StepsWithSadhguru #InnerEngineering"
2023-12-07 19:47:55,44990,279,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_325854036889608_1786362078705532690_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=100&_nc_ohc=U8FPq5aui2YAX_LApTW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD4PgKhpoty2QfXYyvFb3HmXiLudGkvdzQd2mxwOEb4jQ&oe=65C89305&_nc_sid=bc0c2c,479918,C0jgrplupHl,"To Marry or Not to Marry?

#Sadhguru #Decisions #Marriage"
2023-12-07 16:59:46,25468,179,https://instagram.fmaa2-1.fna.fbcdn.net/v/t66.30100-16/10000000_896561861984514_4428001434121550502_n.mp4?_nc_ht=instagram.fmaa2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=UEhn905f_pgAX_ycOzw&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC-UncvkEA25CWLOcCGWeh9tMvW_wI3_hunBDy-4ZTY6Q&oe=65C8F989&_nc_sid=bc0c2c,262840,C0jNDdUPqE9,"How Saving Soil Can Prevent Forced Migration | Impact Nest Hosts #Sadhguru at #COP28

On #WorldSoilDay, Impact Nest, in partnership with the United Nations High Commissioner for @refugees hosted Sadhguru for a powerful multimedia event. The event was focused on the urgent need to revitalize #soil in the climate crisis, and highlighted the link between #climatechange, soil health, and forced #migration, offering actionable solutions.

#SaveSoilFixClimateChange #ClimateAction #ConsciousPlanet

@impactnest.global @gvacheva @tali.natalini"
2023-12-05 16:38:55,8739,44,https://instagram.fmaa2-2.fna.fbcdn.net/v/t66.30100-16/10000000_1435309270533095_8293670161092564135_n.mp4?_nc_ht=instagram.fmaa2-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=r4Y2FWJRf-0AX_27NS-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDGVRo0MdxPfS9HXy2W41igx9n9Pupo32HOIKgj0IAh3Q&oe=65C91A8A&_nc_sid=bc0c2c,82738,C0eBcLBP4rT,"Can Youth Help Mitigate Climate Change?

#Sadhguru #SaveSoilFixClimateChange #ClimateAction #COP28

@cop28uaeofficial @consciousplanet"
